Category,Product,Price,Note
All Ceramic,Solid Zirconia,49,
All Ceramic,Multi-Layer Zirconia,54,
All Ceramic,E.max,59,
All Ceramic,Add Porcelain,20,
Implant Crown & Bridge,Implant Zirconia Crown,49,
Implant Crown & Bridge,Implant E.max Crown,59,
Implant Crown & Bridge,CAD/CAM Titanium Custom Abutment,149,
Implant Crown & Bridge,Screw-retained Implant Ti-Base,119,
Implant Crown & Bridge,Implant Gingival Mask (Per Arch),10,
Implant Crown & Bridge,Surgical Guide,99,Each additional site $49
Implant Crown & Bridge,Each Additional Surgical Guide Site,49,
Implant Crown & Bridge,Analog,20,
Porcelain Fused to Metal,PFM (Co-Cr),49,
Porcelain Fused to Metal,Full Metal Cast (Co-Cr),49,
Porcelain Fused to Metal,Maryland Bridge (One Pontic / Two Wings),89,
Porcelain Fused to Metal,Porcelain Shoulder,10,
Porcelain Fused to Metal,Pink Porcelain Gum,10,
Porcelain Fused to Metal,Rest,5,
Porcelain Fused to Metal,Change Shade,10,
Porcelain Fused to Metal,Reduction Coping (Acrylic),10,
Porcelain Fused to Metal,Print Model Full,10,
Porcelain Fused to Metal,Print Model Half,5,
Removable - Acrylic Dentures,Full Denture,129,
Removable - Acrylic Dentures,Wax Try-In,69,
Removable - Acrylic Dentures,Acrylic Processing,69,
Removable - Acrylic Dentures,Acrylic Partial (4+ Teeth with Wire Clasps),119,
Removable - Acrylic Dentures,Wax Try-In,59,
Removable - Acrylic Dentures,Acrylic Processing,59,
Removable - Acrylic Dentures,Acrylic Flipper (1-3 Teeth),99,
Flexible Partial Dentures,Valplast Partial (4+ Teeth),129,
Flexible Partial Dentures,Valplast Flipper (1-3 Teeth),99,
Metal Framework,Co-Cr Partial Framework,89,
Metal Framework,Clear Framework,129,
Removable Extras,Custom Tray / Bite Block / Invisible Clasp,20,
Removable Extras,Add Acrylic Teeth / Diagnostic Wax-up,20,
Removable Extras,Temporary Crown (PMMA),30,
Removable Extras,Add Name / Add Wire,10,
Mouth Guards,Night Guard (Soft + Hard),60,
Mouth Guards,Night Guard (Soft),60,
Mouth Guards,Night Guard (Hard),60,
Mouth Guards,Sport Mouth Guard,99,
Mouth Guards,Invisible Retainer,60,
